word2vec_LR_train,word2vec_LR_test,word2vec_DT_train,word2vec_DT_test,word2vec_RF_train,word2vec_RF_test,word2vec_SVM_train,word2vec_SVM_test,word2vec_KNN_train,word2vec_KNN_test,embedding
0.035999298095703125,0.0009982585906982422,0.03299903869628906,0.0,0.2889995574951172,0.005999088287353516,0.016998767852783203,0.002008199691772461,0.0,1.331587553024292,1.20682954788208
0.021999359130859375,0.001007080078125,0.023002147674560547,0.0,0.22499847412109375,0.005997180938720703,0.015999317169189453,0.001998424530029297,0.0009949207305908203,0.003999948501586914,1.001476526260376
0.022707223892211914,0.0,0.023993492126464844,0.0010004043579101562,0.235823392868042,0.0050046443939208984,0.016994237899780273,0.00099945068359375,0.0,0.004999876022338867,1.0093605518341064
0.02500009536743164,0.0009944438934326172,0.025008201599121094,0.0,0.2509946823120117,0.004998922348022461,0.019993066787719727,0.0010004043579101562,0.0,0.005995512008666992,0.987443208694458
0.02400684356689453,0.0,0.02299666404724121,0.0,0.2200028896331787,0.00599980354309082,0.019002437591552734,0.001999378204345703,0.0009992122650146484,0.003994464874267578,0.9980003833770752
0.024999141693115234,0.0,0.021996259689331055,0.0010006427764892578,0.2259979248046875,0.006005764007568359,0.01699995994567871,0.0010004043579101562,0.0010018348693847656,0.00499415397644043,0.9915750026702881
0.03199887275695801,0.0,0.027999162673950195,0.0010023117065429688,0.23230242729187012,0.005998373031616211,0.019999027252197266,0.002000093460083008,0.0010006427764892578,0.00500178337097168,1.1720068454742432
0.023993253707885742,0.0,0.023996591567993164,0.0009996891021728516,0.22800660133361816,0.00599360466003418,0.01999831199645996,0.0020008087158203125,0.001001596450805664,0.004999876022338867,1.0290045738220215
0.0249941349029541,0.0,0.022997379302978516,0.0,0.24199843406677246,0.006001472473144531,0.020000219345092773,0.0009999275207519531,0.0,0.004995107650756836,0.9747328758239746
0.026999473571777344,0.0,0.024998903274536133,0.0,0.24399876594543457,0.009999752044677734,0.021381378173828125,0.002002239227294922,0.0010008811950683594,0.005998373031616211,0.984001636505127
0.02299356460571289,0.0,0.022992849349975586,0.0,0.23100614547729492,0.005995750427246094,0.017001628875732422,0.002000093460083008,0.0010001659393310547,0.003993988037109375,1.1264588832855225
0.023994922637939453,0.0,0.033994197845458984,0.0,0.23370003700256348,0.006000041961669922,0.01699995994567871,0.0010008811950683594,0.0,0.004994392395019531,1.0009031295776367
0.02430105209350586,0.0,0.02499079704284668,0.0,0.2620718479156494,0.0059392452239990234,0.020005464553833008,0.0010001659393310547,0.0,0.0050046443939208984,1.0888853073120117
0.020995378494262695,0.0010097026824951172,0.02199721336364746,0.0009996891021728516,0.2359941005706787,0.005000114440917969,0.018001079559326172,0.0009987354278564453,0.0,0.00600123405456543,1.020742416381836
0.023997783660888672,0.0,0.023999691009521484,0.0,0.23698806762695312,0.006000518798828125,0.020999431610107422,0.0010001659393310547,0.0010008811950683594,0.0059986114501953125,1.0237617492675781
