LR_acc_0,LR_f1_0,LR_auc_0,LR_acc_1,LR_f1_1,LR_auc_1,LR_acc_2,LR_f1_2,LR_auc_2,LR_acc_3,LR_f1_3,LR_auc_3,LR_acc_4,LR_f1_4,LR_auc_4,LR_acc_5,LR_f1_5,LR_auc_5,LR_acc_all,LR_f1_all,LR_auc_all,DT_acc_0,DT_f1_0,DT_auc_0,DT_acc_1,DT_f1_1,DT_auc_1,DT_acc_2,DT_f1_2,DT_auc_2,DT_acc_3,DT_f1_3,DT_auc_3,DT_acc_4,DT_f1_4,DT_auc_4,DT_acc_5,DT_f1_5,DT_auc_5,DT_acc_all,DT_f1_all,DT_auc_all,RF_acc_0,RF_f1_0,RF_auc_0,RF_acc_1,RF_f1_1,RF_auc_1,RF_acc_2,RF_f1_2,RF_auc_2,RF_acc_3,RF_f1_3,RF_auc_3,RF_acc_4,RF_f1_4,RF_auc_4,RF_acc_5,RF_f1_5,RF_auc_5,RF_acc_all,RF_f1_all,RF_auc_all,SVM_acc_0,SVM_f1_0,SVM_auc_0,SVM_acc_1,SVM_f1_1,SVM_auc_1,SVM_acc_2,SVM_f1_2,SVM_auc_2,SVM_acc_3,SVM_f1_3,SVM_auc_3,SVM_acc_4,SVM_f1_4,SVM_auc_4,SVM_acc_5,SVM_f1_5,SVM_auc_5,SVM_acc_all,SVM_f1_all,SVM_auc_all,KNN_acc_0,KNN_f1_0,KNN_auc_0,KNN_acc_1,KNN_f1_1,KNN_auc_1,KNN_acc_2,KNN_f1_2,KNN_auc_2,KNN_acc_3,KNN_f1_3,KNN_auc_3,KNN_acc_4,KNN_f1_4,KNN_auc_4,KNN_acc_5,KNN_f1_5,KNN_auc_5,KNN_acc_all,KNN_f1_all,KNN_auc_all
0.9288888888888889,0.56,0.8777777777777778,0.896,0.5,0.8222222222222222,0.8302222222222222,0.5,0.8444444444444444,0.9262222222222223,0.6896551724137931,0.9,0.8008888888888889,0.45714285714285713,0.7888888888888889,0.904,0.7741935483870968,0.9222222222222223,0.5777777777777777,0.5801652629906245,0.8810370370370371,0.7933333333333332,0.6451612903225806,0.8777777777777778,0.64,0.4,0.8,0.6333333333333333,0.4,0.8333333333333334,0.8133333333333334,0.6470588235294118,0.8666666666666667,0.5866666666666666,0.3125,0.7555555555555555,0.7733333333333334,0.6428571428571429,0.8888888888888888,0.5111111111111111,0.5079295427848559,0.7066666666666667,0.9235555555555555,0.5714285714285714,0.8666666666666667,0.8964444444444445,0.5,0.8222222222222222,0.796,0.42857142857142855,0.8222222222222222,0.9386666666666668,0.7096774193548387,0.9,0.7959999999999999,0.48484848484848486,0.8111111111111111,0.924,0.7142857142857143,0.9111111111111111,0.5666666666666667,0.5681352697481731,0.8791111111111111,0.9315555555555556,0.5714285714285714,0.8666666666666667,0.896,0.4666666666666667,0.8222222222222222,0.8275555555555555,0.5,0.8444444444444444,0.92,0.6896551724137931,0.9,0.8035555555555556,0.45714285714285713,0.7888888888888889,0.9182222222222223,0.8,0.9333333333333333,0.5777777777777777,0.5808155446086481,0.8828148148148148,0.8688888888888889,0.6451612903225806,0.8777777777777778,0.8435555555555555,0.5,0.8,0.7764444444444445,0.4827586206896552,0.8333333333333334,0.8444444444444446,0.6896551724137931,0.9,0.752,0.4444444444444444,0.8333333333333334,0.8697777777777778,0.7857142857142857,0.9333333333333333,0.5888888888888889,0.5912889689307931,0.825851851851852
0.9244444444444445,0.56,0.8777777777777778,0.8986666666666667,0.5,0.8222222222222222,0.8293333333333333,0.4827586206896552,0.8333333333333334,0.9191111111111111,0.7142857142857143,0.9111111111111111,0.7946666666666666,0.45714285714285713,0.7888888888888889,0.9013333333333333,0.7741935483870968,0.9222222222222223,0.5777777777777777,0.5813967900842206,0.877925925925926,0.6399999999999999,0.4166666666666667,0.8444444444444444,0.7733333333333333,0.5882352941176471,0.8444444444444444,0.5466666666666666,0.23076923076923078,0.7777777777777778,0.7666666666666666,0.5714285714285714,0.8333333333333334,0.6199999999999999,0.37037037037037035,0.8111111111111111,0.8533333333333333,0.7058823529411765,0.8888888888888888,0.5,0.4805587477156105,0.7000000000000001,0.9217777777777777,0.6428571428571429,0.8888888888888888,0.8937777777777778,0.5294117647058824,0.8222222222222222,0.7888888888888889,0.5,0.8444444444444444,0.904888888888889,0.6,0.8666666666666667,0.7902222222222222,0.4827586206896552,0.8333333333333334,0.9146666666666667,0.7741935483870968,0.9222222222222223,0.5888888888888889,0.5882035127732962,0.869037037037037,0.9288888888888889,0.5714285714285714,0.8666666666666667,0.8995555555555554,0.4666666666666667,0.8222222222222222,0.8364444444444444,0.4827586206896552,0.8333333333333334,0.9226666666666667,0.6428571428571429,0.8888888888888888,0.7937777777777778,0.47058823529411764,0.8,0.9191111111111111,0.7741935483870968,0.9222222222222223,0.5666666666666667,0.5680821308872085,0.8834074074074074,0.8626666666666667,0.6666666666666666,0.8777777777777778,0.8386666666666667,0.5405405405405406,0.8111111111111111,0.7404444444444443,0.35714285714285715,0.8,0.815111111111111,0.6896551724137931,0.9,0.6977777777777778,0.2608695652173913,0.8111111111111111,0.8271111111111111,0.7333333333333333,0.9111111111111111,0.5555555555555556,0.5413680225524303,0.7969629629629629
0.9244444444444444,0.5,0.8666666666666667,0.8951111111111112,0.5,0.8222222222222222,0.8142222222222222,0.4827586206896552,0.8333333333333334,0.9164444444444445,0.6896551724137931,0.9,0.7955555555555556,0.4444444444444444,0.7777777777777778,0.904,0.8,0.9333333333333333,0.5666666666666667,0.5694763729246488,0.874962962962963,0.5733333333333333,0.2727272727272727,0.8222222222222222,0.6333333333333333,0.3870967741935484,0.7888888888888889,0.64,0.4,0.8,0.7133333333333333,0.5161290322580645,0.8333333333333334,0.5933333333333333,0.3225806451612903,0.7666666666666667,0.8066666666666668,0.6285714285714286,0.8555555555555555,0.43333333333333335,0.4211841921519341,0.66,0.9186666666666667,0.6666666666666666,0.9,0.8951111111111111,0.5714285714285714,0.8333333333333334,0.7826666666666667,0.48,0.8555555555555555,0.9182222222222223,0.7333333333333333,0.9111111111111111,0.7822222222222223,0.5454545454545454,0.8333333333333334,0.9084444444444445,0.8,0.9333333333333333,0.6333333333333333,0.6328138528138528,0.8675555555555555,0.9306666666666668,0.5384615384615384,0.8666666666666667,0.9004444444444444,0.5161290322580645,0.8333333333333334,0.8097777777777777,0.4827586206896552,0.8333333333333334,0.9111111111111111,0.6428571428571429,0.8888888888888888,0.7955555555555556,0.45714285714285713,0.7888888888888889,0.9226666666666667,0.7741935483870968,0.9222222222222223,0.5666666666666667,0.5685904566327258,0.8783703703703702,0.8608888888888889,0.625,0.8666666666666667,0.8466666666666667,0.5641025641025641,0.8111111111111111,0.6906666666666667,0.23076923076923078,0.7777777777777778,0.844,0.6666666666666666,0.8888888888888888,0.7817777777777777,0.25,0.8,0.8733333333333333,0.7586206896551724,0.9222222222222223,0.5333333333333333,0.5158598585322723,0.8162222222222221
0.9600000000000001,0.7647058823529411,0.9111111111111111,0.9644444444444444,0.8387096774193549,0.9444444444444444,0.8764444444444445,0.48,0.8555555555555555,0.9164444444444444,0.6666666666666666,0.8888888888888888,0.7964444444444445,0.46153846153846156,0.8444444444444444,0.9653333333333334,0.8235294117647058,0.9333333333333333,0.6888888888888889,0.6725250166236884,0.9131851851851852,0.7600000000000001,0.6,0.8666666666666667,0.7400000000000001,0.5454545454545454,0.8333333333333334,0.6733333333333335,0.45161290322580644,0.8111111111111111,0.7933333333333334,0.72,0.9222222222222223,0.6133333333333333,0.35294117647058826,0.7555555555555555,0.78,0.6666666666666666,0.9,0.5444444444444444,0.5561125486362678,0.7266666666666667,0.9497777777777777,0.625,0.8666666666666667,0.9484444444444446,0.6857142857142857,0.8777777777777778,0.8142222222222222,0.4444444444444444,0.8333333333333334,0.9071111111111112,0.72,0.9222222222222223,0.8266666666666667,0.5,0.8444444444444444,0.9711111111111111,0.8484848484848485,0.9444444444444444,0.6444444444444445,0.6372739297739298,0.9028888888888887,0.9626666666666667,0.7272727272727273,0.9,0.9546666666666667,0.75,0.9111111111111111,0.8728888888888888,0.5185185185185185,0.8555555555555555,0.9217777777777778,0.6666666666666666,0.8888888888888888,0.8026666666666666,0.5384615384615384,0.8666666666666667,0.9715555555555555,0.875,0.9555555555555556,0.6888888888888889,0.679319908486575,0.9143703703703704,0.9155555555555556,0.625,0.8666666666666667,0.9057777777777778,0.5555555555555556,0.8222222222222222,0.7191111111111111,0.3076923076923077,0.8,0.7875555555555555,0.6206896551724138,0.8777777777777778,0.735111111111111,0.3076923076923077,0.8,0.9751111111111112,0.8387096774193549,0.9444444444444444,0.5555555555555556,0.54255658392199,0.8397037037037038
0.9600000000000001,0.7878787878787878,0.9222222222222223,0.9626666666666666,0.7741935483870968,0.9222222222222223,0.8720000000000001,0.5384615384615384,0.8666666666666667,0.9199999999999999,0.6666666666666666,0.8888888888888888,0.8097777777777778,0.46153846153846156,0.8444444444444444,0.9635555555555555,0.8235294117647058,0.9333333333333333,0.6888888888888889,0.6753780691162095,0.9146666666666667,0.6466666666666666,0.41379310344827586,0.8111111111111111,0.7466666666666667,0.5625,0.8444444444444444,0.5733333333333334,0.2857142857142857,0.7777777777777778,0.7733333333333334,0.6428571428571429,0.8888888888888888,0.7199999999999999,0.5333333333333333,0.8444444444444444,0.8200000000000001,0.6666666666666666,0.8777777777777778,0.5222222222222223,0.517477422003284,0.7133333333333334,0.9488888888888889,0.7096774193548387,0.9,0.9373333333333334,0.6060606060606061,0.8555555555555555,0.8288888888888889,0.4444444444444444,0.8333333333333334,0.8715555555555556,0.6428571428571429,0.8888888888888888,0.8400000000000001,0.5333333333333333,0.8444444444444444,0.972,0.7741935483870968,0.9222222222222223,0.6222222222222222,0.6184277490729104,0.8997777777777779,0.9626666666666667,0.75,0.9111111111111111,0.9555555555555555,0.75,0.9111111111111111,0.8702222222222222,0.5185185185185185,0.8555555555555555,0.9199999999999999,0.6896551724137931,0.9,0.8195555555555556,0.5714285714285714,0.8666666666666667,0.9715555555555555,0.875,0.9555555555555556,0.7,0.6924337103934805,0.9165925925925925,0.8755555555555555,0.5333333333333333,0.8444444444444444,0.9306666666666668,0.6842105263157895,0.8666666666666667,0.7226666666666667,0.35714285714285715,0.8,0.7977777777777777,0.6451612903225806,0.8777777777777778,0.7417777777777776,0.2857142857142857,0.8333333333333334,0.9644444444444444,0.75,0.9111111111111111,0.5666666666666667,0.5425937154714744,0.8388148148148148
0.9573333333333334,0.7647058823529411,0.9111111111111111,0.9644444444444444,0.875,0.9555555555555556,0.8782222222222221,0.48,0.8555555555555555,0.9226666666666667,0.6896551724137931,0.9,0.8026666666666666,0.46153846153846156,0.8444444444444444,0.9662222222222223,0.8235294117647058,0.9333333333333333,0.7,0.6824048213449836,0.9152592592592592,0.7000000000000001,0.5185185185185185,0.8555555555555555,0.6,0.3333333333333333,0.8222222222222222,0.5733333333333333,0.29411764705882354,0.7333333333333333,0.7999999999999999,0.6666666666666666,0.8888888888888888,0.7133333333333333,0.5161290322580645,0.8333333333333334,0.7733333333333333,0.5882352941176471,0.8444444444444444,0.4888888888888889,0.4861667486588423,0.6933333333333334,0.9444444444444444,0.6451612903225806,0.8777777777777778,0.9253333333333333,0.631578947368421,0.8444444444444444,0.8071111111111111,0.4444444444444444,0.8333333333333334,0.8764444444444444,0.6428571428571429,0.8888888888888888,0.8164444444444445,0.4,0.8333333333333334,0.972,0.7741935483870968,0.9222222222222223,0.6,0.5897058955632809,0.8902962962962961,0.9617777777777778,0.7272727272727273,0.9,0.9635555555555556,0.8,0.9333333333333333,0.8782222222222222,0.5185185185185185,0.8555555555555555,0.9262222222222223,0.7142857142857143,0.9111111111111111,0.8222222222222222,0.6666666666666666,0.8888888888888888,0.9733333333333334,0.875,0.9555555555555556,0.7222222222222222,0.7169572711239378,0.9208888888888889,0.8879999999999999,0.6470588235294118,0.8666666666666667,0.9208888888888889,0.6842105263157895,0.8666666666666667,0.7457777777777779,0.4,0.8333333333333334,0.7879999999999999,0.6428571428571429,0.8888888888888888,0.732,0.2727272727272727,0.8222222222222222,0.9706666666666667,0.7878787878787878,0.9222222222222223,0.6,0.5724554255514008,0.8408888888888888
0.9342222222222223,0.6428571428571429,0.8888888888888888,0.9751111111111112,0.7647058823529411,0.9111111111111111,0.8835555555555555,0.5161290322580645,0.8333333333333334,0.9404444444444444,0.7272727272727273,0.9,0.8257777777777778,0.4166666666666667,0.8444444444444444,0.9582222222222222,0.8,0.9333333333333333,0.6555555555555556,0.6446052419012571,0.9195555555555556,0.74,0.5925925925925926,0.8777777777777778,0.7133333333333333,0.5161290322580645,0.8333333333333334,0.7066666666666667,0.5,0.8222222222222222,0.8266666666666668,0.6875,0.8888888888888888,0.6933333333333335,0.5,0.8444444444444444,0.7999999999999999,0.6666666666666666,0.8888888888888888,0.5777777777777777,0.5771480485862206,0.7466666666666666,0.9284444444444444,0.7586206896551724,0.9222222222222223,0.9511111111111111,0.6857142857142857,0.8777777777777778,0.9173333333333333,0.7096774193548387,0.9,0.9053333333333333,0.7741935483870968,0.9222222222222223,0.8897777777777778,0.5833333333333334,0.8888888888888888,0.9364444444444444,0.7333333333333333,0.9111111111111111,0.7111111111111111,0.7074787682963434,0.9214074074074073,0.936,0.5925925925925926,0.8777777777777778,0.9680000000000001,0.6857142857142857,0.8777777777777778,0.896,0.5454545454545454,0.8333333333333334,0.943111111111111,0.7586206896551724,0.9222222222222223,0.8293333333333333,0.37037037037037035,0.8111111111111111,0.9573333333333334,0.8275862068965517,0.9444444444444444,0.6333333333333333,0.630056448447253,0.9216296296296297,0.9279999999999999,0.6896551724137931,0.9,0.9182222222222223,0.6486486486486487,0.8555555555555555,0.8857777777777778,0.625,0.8666666666666667,0.884,0.75,0.9111111111111111,0.7497777777777779,0.4,0.8666666666666667,0.9133333333333333,0.7333333333333333,0.9111111111111111,0.6555555555555556,0.6411061923992959,0.8798518518518518
0.9342222222222222,0.6428571428571429,0.8888888888888888,0.9751111111111112,0.7647058823529411,0.9111111111111111,0.8906666666666667,0.5625,0.8444444444444444,0.9395555555555555,0.7741935483870968,0.9222222222222223,0.8266666666666667,0.48,0.8555555555555555,0.9653333333333334,0.8,0.9333333333333333,0.6777777777777778,0.6707094289328634,0.921925925925926,0.7466666666666667,0.5625,0.8444444444444444,0.7466666666666666,0.6153846153846154,0.8888888888888888,0.6266666666666666,0.38461538461538464,0.8222222222222222,0.8266666666666667,0.631578947368421,0.8444444444444444,0.6133333333333333,0.35714285714285715,0.8,0.7999999999999999,0.6666666666666666,0.8888888888888888,0.5444444444444444,0.5363147451963242,0.7266666666666666,0.9271111111111111,0.6896551724137931,0.9,0.9502222222222221,0.7692307692307693,0.9,0.9097777777777777,0.6206896551724138,0.8777777777777778,0.892888888888889,0.8,0.9333333333333333,0.8626666666666666,0.5454545454545454,0.8888888888888888,0.928,0.7741935483870968,0.9222222222222223,0.7111111111111111,0.6998706151097697,0.9117777777777777,0.936,0.5384615384615384,0.8666666666666667,0.9662222222222223,0.7058823529411765,0.8888888888888888,0.8942222222222223,0.5142857142857142,0.8111111111111111,0.9333333333333332,0.7586206896551724,0.9222222222222223,0.8231111111111111,0.38461538461538464,0.8222222222222222,0.9626666666666667,0.8,0.9333333333333333,0.6222222222222222,0.6169776133264978,0.9192592592592592,0.9208888888888889,0.7058823529411765,0.8888888888888888,0.9204444444444444,0.6666666666666666,0.8666666666666667,0.8893333333333333,0.5925925925925926,0.8777777777777778,0.8853333333333334,0.7272727272727273,0.9,0.8013333333333335,0.4,0.8666666666666667,0.9035555555555557,0.7333333333333333,0.9111111111111111,0.6555555555555556,0.637624612134416,0.886814814814815
0.9324444444444444,0.6896551724137931,0.9,0.9742222222222222,0.7647058823529411,0.9111111111111111,0.8853333333333333,0.625,0.8666666666666667,0.9457777777777778,0.7741935483870968,0.9222222222222223,0.8275555555555556,0.4166666666666667,0.8444444444444444,0.9555555555555556,0.8,0.9333333333333333,0.6888888888888889,0.6783702116367496,0.9201481481481482,0.74,0.5925925925925926,0.8777777777777778,0.6933333333333332,0.47058823529411764,0.8,0.7199999999999999,0.5333333333333333,0.8444444444444444,0.8666666666666667,0.75,0.9111111111111111,0.6266666666666666,0.38461538461538464,0.8222222222222222,0.8333333333333334,0.7096774193548387,0.9,0.5777777777777777,0.5734678275317111,0.7466666666666666,0.9288888888888889,0.7333333333333333,0.9111111111111111,0.9448888888888889,0.7027027027027027,0.8777777777777778,0.88,0.6666666666666666,0.8888888888888888,0.9182222222222223,0.7741935483870968,0.9222222222222223,0.8524444444444444,0.5454545454545454,0.8888888888888888,0.9457777777777778,0.7333333333333333,0.9111111111111111,0.7,0.6926140216462796,0.9117037037037036,0.9333333333333332,0.5185185185185185,0.8555555555555555,0.968,0.6666666666666666,0.8777777777777778,0.8968888888888888,0.5142857142857142,0.8111111111111111,0.9466666666666667,0.7586206896551724,0.9222222222222223,0.8346666666666667,0.37037037037037035,0.8111111111111111,0.9626666666666667,0.8275862068965517,0.9444444444444444,0.6111111111111112,0.609341361065499,0.9237037037037036,0.9248888888888889,0.6666666666666666,0.8888888888888888,0.9195555555555555,0.6666666666666666,0.8666666666666667,0.8862222222222222,0.625,0.8666666666666667,0.8551111111111112,0.75,0.9111111111111111,0.7911111111111111,0.42105263157894735,0.8777777777777778,0.9102222222222222,0.7741935483870968,0.9222222222222223,0.6666666666666666,0.6505965855498962,0.8811851851851852
0.8871111111111111,0.6857142857142857,0.8777777777777778,0.8622222222222222,0.4864864864864865,0.7888888888888889,0.8328888888888889,0.5454545454545454,0.8888888888888888,0.9155555555555556,0.6896551724137931,0.9,0.7297777777777777,0.16,0.7666666666666667,0.976,0.875,0.9555555555555556,0.5888888888888889,0.5737184150115185,0.8672592592592593,0.7466666666666667,0.5625,0.8444444444444444,0.6533333333333333,0.4117647058823529,0.7777777777777778,0.6933333333333335,0.5,0.8444444444444444,0.82,0.7407407407407407,0.9222222222222223,0.52,0.2,0.7333333333333333,0.8066666666666666,0.6896551724137931,0.9,0.5111111111111111,0.5174434365061479,0.7066666666666667,0.8804444444444445,0.6470588235294118,0.8666666666666667,0.8906666666666667,0.6111111111111112,0.8444444444444444,0.8640000000000001,0.5925925925925926,0.8777777777777778,0.9768888888888889,0.7142857142857143,0.9111111111111111,0.780888888888889,0.3076923076923077,0.8,0.9715555555555555,0.8275862068965517,0.9444444444444444,0.6222222222222222,0.6167211260179482,0.8940740740740742,0.8826666666666667,0.5294117647058824,0.8222222222222222,0.8728888888888888,0.5555555555555556,0.8222222222222222,0.84,0.46153846153846156,0.8444444444444444,0.9262222222222222,0.6666666666666666,0.9,0.6675555555555556,0.16,0.7666666666666667,0.9875555555555555,0.875,0.9555555555555556,0.5555555555555556,0.5413620747444278,0.8628148148148148,0.8706666666666667,0.5806451612903226,0.8555555555555555,0.8897777777777778,0.5714285714285714,0.8333333333333334,0.7982222222222222,0.5517241379310345,0.8555555555555555,0.9115555555555555,0.6666666666666666,0.8888888888888888,0.7280000000000001,0.2727272727272727,0.8222222222222222,0.9448888888888889,0.7878787878787878,0.9222222222222223,0.5888888888888889,0.5718450996537761,0.8571851851851852
