train,test
400.8744164,2.951420546
391.107806,2.492822647
390.6467254,2.379468203
396.2993431,2.402367592
394.0449917,2.345050812
396.3172216,2.446403742
396.0142212,2.380265236
393.8368876,2.448019505
389.1206386,2.354818821
392.7754316,2.449451447
391.2452064,2.34923315
393.1271589,2.460517406
391.9292853,2.369259357
392.1984065,2.446393251
387.7550018,2.365854025
