acc_0,f1_0,auc_0,acc_1,f1_1,auc_1,acc_2,f1_2,auc_2,acc_3,f1_3,auc_3,acc_4,f1_4,auc_4,acc_5,f1_5,auc_5,acc_all,f1_all,auc_all
0.9422222222222222,0.6153846153846154,0.8888888888888888,0.9253333333333333,0.6,0.8666666666666667,0.8817777777777778,0.6060606060606061,0.8555555555555555,0.9946666666666667,0.9655172413793104,0.9888888888888889,0.9528888888888889,0.7272727272727273,0.9,0.9937777777777778,0.9655172413793104,0.9888888888888889,0.7444444444444445,0.7466254052460949,0.9484444444444445
0.9119999999999999,0.7096774193548387,0.9,0.968,0.8275862068965517,0.9444444444444444,0.8684444444444445,0.5333333333333333,0.8444444444444444,0.9875555555555555,0.9655172413793104,0.9888888888888889,0.9591111111111111,0.8125,0.9333333333333333,0.9946666666666667,0.9655172413793104,0.9888888888888889,0.8,0.8023552403905575,0.9482962962962963
0.9333333333333332,0.64,0.9,0.9297777777777778,0.5,0.8444444444444444,0.8924444444444445,0.6285714285714286,0.8555555555555555,0.9902222222222221,0.9655172413793104,0.9888888888888889,0.9724444444444444,0.7878787878787878,0.9222222222222223,0.9991111111111112,0.9333333333333333,0.9777777777777777,0.7444444444444445,0.7425501318604768,0.9528888888888889
0.9315555555555555,0.6842105263157895,0.8666666666666667,0.9484444444444444,0.6666666666666666,0.9,0.8204444444444444,0.2727272727272727,0.8222222222222222,0.9955555555555556,0.9375,0.9777777777777777,0.9635555555555556,0.7741935483870968,0.9222222222222223,1.0,1.0,1.0,0.7444444444444445,0.7225496690161376,0.9432592592592592
0.9351111111111111,0.6857142857142857,0.8777777777777778,0.9626666666666668,0.7586206896551724,0.9222222222222223,0.8533333333333333,0.34782608695652173,0.8333333333333334,0.9982222222222222,0.9333333333333333,0.9777777777777777,0.9626666666666667,0.7272727272727273,0.9,1.0,1.0,1.0,0.7555555555555555,0.7421278538220067,0.952
0.9288888888888889,0.6666666666666666,0.8666666666666667,0.96,0.8,0.9333333333333333,0.8453333333333333,0.2857142857142857,0.8333333333333334,0.9982222222222222,0.9333333333333333,0.9777777777777777,0.9644444444444444,0.7878787878787878,0.9222222222222223,1.0,1.0,1.0,0.7666666666666667,0.7455988455988457,0.9494814814814814
0.9271111111111111,0.7058823529411765,0.8888888888888888,0.9884444444444445,0.8387096774193549,0.9444444444444444,0.8702222222222222,0.4166666666666667,0.8444444444444444,0.9982222222222222,0.896551724137931,0.9666666666666667,0.9653333333333334,0.75,0.9111111111111111,1.0,1.0,1.0,0.7777777777777778,0.7679684035275215,0.9582222222222222
0.9013333333333333,0.6206896551724138,0.8777777777777778,0.9964444444444445,0.875,0.9555555555555556,0.8835555555555555,0.5,0.8444444444444444,0.9982222222222222,0.896551724137931,0.9666666666666667,0.9608888888888889,0.75,0.9111111111111111,1.0,1.0,1.0,0.7777777777777778,0.7737068965517242,0.9567407407407407
0.9315555555555556,0.7272727272727273,0.9,0.992,0.8666666666666667,0.9555555555555556,0.9004444444444445,0.5185185185185185,0.8555555555555555,1.0,0.8888888888888888,0.9666666666666667,0.9724444444444444,0.7878787878787878,0.9222222222222223,1.0,1.0,1.0,0.8,0.7982042648709315,0.9660740740740742
0.8880000000000001,0.6285714285714286,0.8555555555555555,0.967111111111111,0.7096774193548387,0.9,0.9075555555555554,0.5714285714285714,0.8666666666666667,0.9991111111111112,0.9655172413793104,0.9888888888888889,0.9377777777777777,0.7407407407407407,0.9222222222222223,1.0,1.0,1.0,0.7666666666666667,0.7693225669124817,0.949925925925926
0.8924444444444445,0.6111111111111112,0.8444444444444444,0.9457777777777778,0.6875,0.8888888888888888,0.928,0.5217391304347826,0.8777777777777778,0.9991111111111112,0.9333333333333333,0.9777777777777777,0.9324444444444444,0.7333333333333333,0.9111111111111111,1.0,0.9655172413793104,0.9888888888888889,0.7444444444444445,0.7420890249319786,0.9496296296296296
0.8773333333333333,0.6111111111111112,0.8444444444444444,0.9617777777777778,0.8571428571428571,0.9555555555555556,0.9484444444444444,0.5833333333333334,0.8888888888888888,0.9982222222222222,0.9655172413793104,0.9888888888888889,0.9457777777777778,0.8235294117647058,0.9333333333333333,1.0,0.9655172413793104,0.9888888888888889,0.8,0.8010251993517715,0.9552592592592593
0.9511111111111111,0.6451612903225806,0.8777777777777778,0.9457777777777778,0.625,0.8666666666666667,0.8968888888888888,0.45161290322580644,0.8111111111111111,0.9982222222222222,0.9285714285714286,0.9777777777777777,0.9635555555555555,0.7096774193548387,0.9,0.9982222222222222,0.8888888888888888,0.9666666666666667,0.7,0.708151988393924,0.9589629629629629
0.9333333333333332,0.6666666666666666,0.8666666666666667,0.9475555555555555,0.7407407407407407,0.9222222222222223,0.8666666666666667,0.5517241379310345,0.8555555555555555,0.9982222222222222,0.9285714285714286,0.9777777777777777,0.968,0.75,0.9111111111111111,0.9857777777777779,0.9285714285714286,0.9777777777777777,0.7555555555555555,0.7610457337468831,0.949925925925926
0.9644444444444444,0.7096774193548387,0.9,0.9653333333333334,0.7333333333333333,0.9111111111111111,0.9066666666666666,0.5333333333333333,0.8444444444444444,0.9991111111111112,0.9655172413793104,0.9888888888888889,0.9715555555555555,0.75,0.9111111111111111,0.9955555555555555,0.9285714285714286,0.9777777777777777,0.7666666666666667,0.770072125995374,0.9671111111111111
