acc_0,f1_0,auc_0,acc_1,f1_1,auc_1,acc_2,f1_2,auc_2,acc_3,f1_3,auc_3,acc_4,f1_4,auc_4,acc_5,f1_5,auc_5,acc_all,f1_all,auc_all
0.9662222222222223,0.7857142857142857,0.9333333333333333,0.9866666666666667,0.8125,0.9333333333333333,0.9386666666666666,0.7272727272727273,0.9,0.9982222222222222,0.9655172413793104,0.9888888888888889,0.9964444444444445,0.896551724137931,0.9666666666666667,1.0,0.9655172413793104,0.9888888888888889,0.8555555555555555,0.8588455366472609,0.981037037037037
0.9662222222222222,0.8275862068965517,0.9444444444444444,0.9822222222222222,0.8125,0.9333333333333333,0.9244444444444444,0.7586206896551724,0.9222222222222223,1.0,1.0,1.0,0.9937777777777778,0.8666666666666667,0.9555555555555556,1.0,1.0,1.0,0.8777777777777778,0.8775622605363985,0.9777777777777777
0.9653333333333334,0.8,0.9333333333333333,0.9795555555555556,0.7878787878787878,0.9222222222222223,0.9208888888888888,0.7142857142857143,0.9111111111111111,1.0,0.9655172413793104,0.9888888888888889,0.9946666666666667,0.8387096774193549,0.9444444444444444,1.0,0.9655172413793104,0.9888888888888889,0.8444444444444444,0.845318110390413,0.9767407407407407
0.9324444444444444,0.7428571428571429,0.9,0.9368888888888889,0.7741935483870968,0.9222222222222223,0.8542222222222222,0.43478260869565216,0.8555555555555555,1.0,1.0,1.0,0.9724444444444444,0.9032258064516129,0.9666666666666667,1.0,1.0,1.0,0.8222222222222222,0.8091765177319173,0.9493333333333333
0.9368888888888889,0.6875,0.8888888888888888,0.9182222222222223,0.75,0.9111111111111111,0.8622222222222222,0.46153846153846156,0.8444444444444444,1.0,0.9655172413793104,0.9888888888888889,0.9813333333333333,0.8387096774193549,0.9444444444444444,1.0,1.0,1.0,0.7888888888888889,0.7838775633895212,0.9497777777777778
0.928888888888889,0.6842105263157895,0.8666666666666667,0.9404444444444444,0.7741935483870968,0.9222222222222223,0.8408888888888888,0.38095238095238093,0.8555555555555555,1.0,1.0,1.0,0.9688888888888889,0.8666666666666667,0.9555555555555556,1.0,1.0,1.0,0.8,0.7843371870536556,0.9465185185185185
0.9066666666666667,0.7096774193548387,0.9,0.9635555555555555,0.8235294117647058,0.9333333333333333,0.8782222222222222,0.5,0.8666666666666667,0.9902222222222221,0.9032258064516129,0.9666666666666667,0.9653333333333334,0.7741935483870968,0.9222222222222223,0.9991111111111112,0.9655172413793104,0.9888888888888889,0.7888888888888889,0.7793572378895942,0.9505185185185185
0.9262222222222222,0.7272727272727273,0.9,0.9644444444444444,0.8235294117647058,0.9333333333333333,0.8862222222222222,0.5217391304347826,0.8777777777777778,0.9937777777777778,0.9032258064516129,0.9666666666666667,0.9608888888888889,0.7333333333333333,0.9111111111111111,1.0,0.9655172413793104,0.9888888888888889,0.7888888888888889,0.7791029417727454,0.9552592592592593
0.9271111111111112,0.7878787878787878,0.9222222222222223,0.9395555555555556,0.8387096774193549,0.9444444444444444,0.9031111111111112,0.5833333333333334,0.8888888888888888,0.9928888888888889,0.9032258064516129,0.9666666666666667,0.976,0.8,0.9333333333333333,1.0,0.967741935483871,0.9888888888888889,0.8222222222222222,0.8134815900944933,0.9564444444444445
0.8951111111111112,0.7096774193548387,0.9,0.9742222222222222,0.8484848484848485,0.9444444444444444,0.9333333333333332,0.5925925925925926,0.8777777777777778,0.9982222222222222,0.9333333333333333,0.9777777777777777,0.9786666666666667,0.896551724137931,0.9666666666666667,1.0,1.0,1.0,0.8333333333333334,0.8301066529839239,0.9632592592592593
0.8862222222222224,0.6875,0.8888888888888888,0.967111111111111,0.8125,0.9333333333333333,0.9395555555555556,0.56,0.8777777777777778,0.9973333333333333,0.9032258064516129,0.9666666666666667,0.9893333333333334,0.8666666666666667,0.9555555555555556,1.0,1.0,1.0,0.8111111111111111,0.8049820788530466,0.9632592592592593
0.8915555555555555,0.7586206896551724,0.9222222222222223,0.96,0.7878787878787878,0.9222222222222223,0.9066666666666667,0.6896551724137931,0.9,0.9955555555555555,0.9032258064516129,0.9666666666666667,0.9857777777777778,0.9285714285714286,0.9777777777777777,1.0,1.0,1.0,0.8444444444444444,0.8446586474951325,0.9565925925925925
0.9644444444444444,0.7027027027027027,0.8777777777777778,0.9466666666666667,0.8148148148148148,0.9444444444444444,0.9004444444444445,0.5,0.8666666666666667,0.9973333333333334,0.9333333333333333,0.9777777777777777,0.9857777777777776,0.7878787878787878,0.9222222222222223,1.0,0.9655172413793104,0.9888888888888889,0.7888888888888889,0.7840411466848249,0.9657777777777778
0.936,0.6285714285714286,0.8555555555555555,0.9484444444444444,0.8888888888888888,0.9666666666666667,0.8826666666666667,0.5,0.8444444444444444,0.9982222222222222,0.9333333333333333,0.9777777777777777,0.9831111111111112,0.875,0.9555555555555556,1.0,0.9285714285714286,0.9777777777777777,0.7888888888888889,0.7923941798941799,0.9580740740740742
0.936,0.6666666666666666,0.8777777777777778,0.9368888888888889,0.8148148148148148,0.9444444444444444,0.8862222222222222,0.5,0.8444444444444444,0.9946666666666667,0.9333333333333333,0.9777777777777777,0.9857777777777778,0.875,0.9555555555555556,1.0,1.0,1.0,0.8,0.7983024691358024,0.9565925925925925
