train,test
398.7951591,3.005258799
397.8122504,2.46091795
397.2881882,2.399562836
408.0208914,2.425071001
405.8149304,2.403455734
410.2258823,2.425059557
415.6143618,2.388946533
411.8253441,2.43897748
407.7808123,2.437975407
404.222764,2.403170347
404.3371029,2.511072159
408.5544748,2.387404442
401.0881848,2.411280155
403.0645077,2.411337376
400.9977355,2.348847866
