train,test
404.6652997,2.906715155
396.6658638,2.488903522
398.7177377,2.556471825
404.5322599,2.390443563
406.7810569,2.461780071
407.3771188,2.378777266
400.7178695,2.448907375
404.6915112,2.370845795
406.5608816,2.447057486
397.6915455,2.362493038
397.2958808,2.428165197
401.9060669,2.363160133
406.6275768,2.465367317
405.2157211,2.354345322
398.7858856,2.451549292
