acc_0,f1_0,auc_0,acc_1,f1_1,auc_1,acc_2,f1_2,auc_2,acc_3,f1_3,auc_3,acc_4,f1_4,auc_4,acc_5,f1_5,auc_5,acc_all,f1_all,auc_all
0.9440000000000001,0.6666666666666666,0.8777777777777778,0.9564444444444444,0.7142857142857143,0.9111111111111111,0.9031111111111112,0.5517241379310345,0.8555555555555555,1.0,1.0,1.0,0.9893333333333333,0.8666666666666667,0.9555555555555556,1.0,1.0,1.0,0.8,0.7998905309250137,0.9654814814814815
0.9475555555555555,0.7096774193548387,0.9,0.96,0.7407407407407407,0.9222222222222223,0.92,0.5806451612903226,0.8555555555555555,1.0,0.967741935483871,0.9888888888888889,0.9804444444444445,0.9032258064516129,0.9666666666666667,1.0,0.9655172413793104,0.9888888888888889,0.8111111111111111,0.8112580507834494,0.968
0.9315555555555556,0.6206896551724138,0.8777777777777778,0.9733333333333334,0.8275862068965517,0.9444444444444444,0.9119999999999999,0.5161290322580645,0.8333333333333334,1.0,1.0,1.0,0.991111111111111,0.875,0.9555555555555556,1.0,0.9655172413793104,0.9888888888888889,0.8,0.8008203559510568,0.968
0.9315555555555556,0.8,0.9222222222222223,0.976,0.8666666666666667,0.9555555555555556,0.8968888888888888,0.6086956521739131,0.9,0.9937777777777778,0.9655172413793104,0.9888888888888889,0.9715555555555556,0.8484848484848485,0.9444444444444444,1.0,1.0,1.0,0.8555555555555555,0.8482274014507899,0.9616296296296296
0.9182222222222222,0.7428571428571429,0.9,0.9804444444444445,0.8125,0.9333333333333333,0.9146666666666666,0.5217391304347826,0.8777777777777778,1.0,0.9655172413793104,0.9888888888888889,0.9804444444444445,0.7741935483870968,0.9222222222222223,1.0,1.0,1.0,0.8111111111111111,0.8028011771763888,0.9656296296296296
0.9244444444444444,0.7272727272727273,0.9,0.9804444444444445,0.7878787878787878,0.9222222222222223,0.9039999999999999,0.56,0.8777777777777778,1.0,1.0,1.0,0.9733333333333334,0.7586206896551724,0.9222222222222223,1.0,1.0,1.0,0.8111111111111111,0.8056287008011146,0.9637037037037036
0.96,0.717948717948718,0.8777777777777778,0.9573333333333334,0.8275862068965517,0.9444444444444444,0.872,0.3,0.8444444444444444,0.9777777777777777,0.875,0.9555555555555556,0.9111111111111111,0.7333333333333333,0.9111111111111111,1.0,1.0,1.0,0.7666666666666667,0.7423113763631005,0.9463703703703704
0.9484444444444444,0.6666666666666666,0.8888888888888888,0.944,0.8,0.9333333333333333,0.8657777777777778,0.4827586206896552,0.8333333333333334,0.9786666666666667,0.875,0.9555555555555556,0.9155555555555555,0.6666666666666666,0.8888888888888888,1.0,0.9655172413793104,0.9888888888888889,0.7444444444444445,0.7427681992337165,0.942074074074074
0.9635555555555555,0.8,0.9222222222222223,0.9724444444444444,0.8275862068965517,0.9444444444444444,0.8524444444444444,0.46153846153846156,0.8444444444444444,0.983111111111111,0.875,0.9555555555555556,0.9208888888888889,0.6206896551724138,0.8777777777777778,1.0,0.9655172413793104,0.9888888888888889,0.7666666666666667,0.7583885941644563,0.9487407407407407
0.9217777777777778,0.7058823529411765,0.8888888888888888,0.9804444444444445,0.8,0.9333333333333333,0.8995555555555556,0.5217391304347826,0.8777777777777778,0.9964444444444445,0.967741935483871,0.9888888888888889,0.9582222222222221,0.75,0.9111111111111111,1.0,1.0,1.0,0.8,0.790893903143305,0.9594074074074074
0.9324444444444444,0.6486486486486487,0.8555555555555555,0.9813333333333333,0.8387096774193549,0.9444444444444444,0.9057777777777778,0.3,0.8444444444444444,0.9991111111111112,0.967741935483871,0.9888888888888889,0.9635555555555556,0.7741935483870968,0.9222222222222223,1.0,1.0,1.0,0.7777777777777778,0.7548823016564953,0.9637037037037036
0.9457777777777777,0.7272727272727273,0.9,0.9786666666666667,0.8,0.9333333333333333,0.9244444444444444,0.56,0.8777777777777778,0.9991111111111112,0.967741935483871,0.9888888888888889,0.9644444444444444,0.7741935483870968,0.9222222222222223,1.0,1.0,1.0,0.8111111111111111,0.8048680351906158,0.9687407407407407
0.9395555555555556,0.625,0.8666666666666667,0.9315555555555555,0.7586206896551724,0.9222222222222223,0.8524444444444444,0.35714285714285715,0.8,0.984,0.9333333333333333,0.9777777777777777,0.9884444444444445,0.8387096774193549,0.9444444444444444,1.0,1.0,1.0,0.7555555555555555,0.752134426258453,0.9493333333333333
0.9644444444444444,0.7567567567567568,0.9,0.9253333333333333,0.7407407407407407,0.9222222222222223,0.8782222222222222,0.34782608695652173,0.8333333333333334,0.9644444444444444,0.9333333333333333,0.9777777777777777,0.9875555555555555,0.8235294117647058,0.9333333333333333,1.0,0.9655172413793104,0.9888888888888889,0.7777777777777778,0.7612839284885614,0.9533333333333333
0.9555555555555556,0.7027027027027027,0.8777777777777778,0.9626666666666666,0.7586206896551724,0.9222222222222223,0.8720000000000001,0.3333333333333333,0.8222222222222222,0.9902222222222221,0.9285714285714286,0.9777777777777777,0.9777777777777777,0.8125,0.9333333333333333,1.0,1.0,1.0,0.7666666666666667,0.7559546923771062,0.9597037037037036
