words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1
"code,function",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"get,code",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,got",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,gpu",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,help",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,however",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,image",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,images",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,import",0.84,0.844454247,0.782608696,0.75862069,0.692307692,0.96,0.916666667
"code,input",0.866666667,0.868558776,0.782608696,0.814814815,0.740740741,1,0.916666667
"keras,code",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"last,code",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"layer,code",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,learning",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,len",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,like",0.84,0.843435319,0.782608696,0.740740741,0.740740741,0.96,0.88
"code,line",0.84,0.843435319,0.782608696,0.740740741,0.740740741,0.96,0.88
"code,loss",0.84,0.844023464,0.833333333,0.714285714,0.72,0.96,0.88
"code,model",0.84,0.842128138,0.727272727,0.8,0.692307692,0.96,0.916666667
"module,code",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,name",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,network",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,neural",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"none,code",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,np",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,numpy",0.866666667,0.86926156,0.833333333,0.785714286,0.8,0.96,0.88
"code,one",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,optimizer",0.866666667,0.870244466,0.833333333,0.785714286,0.769230769,0.96,0.916666667
"code,output",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,print",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
"code,problem",0.853333333,0.857042021,0.782608696,0.785714286,0.740740741,0.96,0.916666667
