words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1,,,,,,,
run,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
target,0.844444444,0.847480285,0.785714286,0.774193548,0.727272727,0.965517241,0.866666667,,,,,,,
len,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
layers,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
call,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
python,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
test,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
one,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
cnn,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
version,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
expected,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
epochs,0.844444444,0.848113213,0.785714286,0.787878788,0.6875,0.965517241,0.896551724,,,,,,,
cpu,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
memory,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
attributeerror,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
last,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
class,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
result,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
help,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
type,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
however,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
object,0.855555556,0.858845537,0.785714286,0.8125,0.727272727,0.965517241,0.896551724,,,,,,,
