tfidf_LR_train,tfidf_LR_test,tfidf_DT_train,tfidf_DT_test,tfidf_RF_train,tfidf_RF_test,tfidf_SVM_train,tfidf_SVM_test,tfidf_KNN_train,tfidf_KNN_test,embedding
0.14012360572814941,0.001994609832763672,0.07399868965148926,0.0030007362365722656,0.3019998073577881,0.009999752044677734,1.6300044059753418,0.17900514602661133,0.0010075569152832031,1.6051545143127441,0.8298492431640625
0.129866361618042,0.0009944438934326172,0.06706428527832031,0.002000570297241211,0.27100157737731934,0.008998632431030273,1.5985205173492432,0.1699998378753662,0.0020008087158203125,0.017993927001953125,0.8064382076263428
0.14000606536865234,0.000993967056274414,0.06900382041931152,0.002000570297241211,0.2779967784881592,0.009998559951782227,1.5899975299835205,0.16800665855407715,0.0009996891021728516,0.01799297332763672,0.7809998989105225
0.13799762725830078,0.001993894577026367,0.06900501251220703,0.0030035972595214844,0.27099132537841797,0.008008241653442383,1.494840145111084,0.1730022430419922,0.0019991397857666016,0.017994165420532227,0.8170027732849121
0.12899994850158691,0.0010001659393310547,0.06799960136413574,0.0020012855529785156,0.2740027904510498,0.00899815559387207,1.4759998321533203,0.1680011749267578,0.0010008811950683594,0.01899409294128418,0.7797684669494629
0.13300585746765137,0.0010008811950683594,0.06800460815429688,0.002001523971557617,0.26399779319763184,0.008998870849609375,1.6079950332641602,0.18907856941223145,0.0020046234130859375,0.018990278244018555,0.7874782085418701
0.1580066680908203,0.002001047134399414,0.06099820137023926,0.0030031204223632812,0.29799556732177734,0.009000778198242188,1.511995553970337,0.16700291633605957,0.0019974708557128906,0.018995285034179688,0.8201918601989746
0.14500212669372559,0.002001523971557617,0.05799722671508789,0.0019991397857666016,0.27300119400024414,0.008993387222290039,1.5849993228912354,0.16700053215026855,0.0019996166229248047,0.017994165420532227,0.7839937210083008
0.16999292373657227,0.002001523971557617,0.06589174270629883,0.0020041465759277344,0.2709977626800537,0.00900125503540039,1.4920010566711426,0.16899919509887695,0.0020012855529785156,0.01899409294128418,0.7840075492858887
0.12700533866882324,0.0009949207305908203,0.06499910354614258,0.0020003318786621094,0.2709991931915283,0.007999897003173828,1.5680058002471924,0.17099928855895996,0.0020062923431396484,0.016999483108520508,0.7853996753692627
0.1410067081451416,0.0009944438934326172,0.06600403785705566,0.0030040740966796875,0.2890617847442627,0.008937597274780273,1.6130988597869873,0.16606879234313965,0.0020012855529785156,0.017925262451171875,0.8510022163391113
0.14699602127075195,0.0019996166229248047,0.0720059871673584,0.001999378204345703,0.2960019111633301,0.007994413375854492,1.5030403137207031,0.17699670791625977,0.0020012855529785156,0.01899886131286621,0.824002742767334
0.1329364776611328,0.0019922256469726562,0.06199908256530762,0.002000570297241211,0.27100348472595215,0.008996009826660156,1.5940682888031006,0.16992950439453125,0.0019989013671875,0.017997264862060547,0.7940013408660889
0.13599276542663574,0.0010030269622802734,0.06399798393249512,0.0030024051666259766,0.272000789642334,0.008999824523925781,1.560096263885498,0.18000268936157227,0.0019996166229248047,0.017999649047851562,0.8029956817626953
0.14099740982055664,0.0009999275207519531,0.06500673294067383,0.0029952526092529297,0.2930028438568115,0.007999420166015625,1.5472173690795898,0.17100214958190918,0.0020003318786621094,0.019994497299194336,0.8350043296813965
